"","Distance","Rsquare","Number"
"1",10,0.513562314499123,1006
"2",20,0.474531847211436,672
"3",30,0.439375812997029,536
"4",40,0.462131870325762,436
"5",50,0.44043024047769,341
"6",60,0.446768894682043,269
"7",70,0.42893576036697,247
"8",80,0.42901188051145,216
"9",90,0.425939705226258,165
"10",100,0.382885848806648,176
"11",200,0.402275166207449,1067
"12",300,0.372675753679612,601
"13",400,0.391696243985962,385
"14",500,0.359233497582748,300
"15",600,0.347614689880653,244
"16",700,0.372759313790486,208
"17",800,0.349641727798008,161
"18",900,0.326227358014341,127
"19",1000,0.355663399168654,128
"20",1100,0.317535916187987,103
"21",1200,0.38787409804519,72
"22",1300,0.387149002990737,66
"23",1400,0.428947179481169,56
"24",1500,0.32878869618797,56
"25",1600,0.302055997041779,50
"26",1700,0.37147579828988,38
"27",1800,0.240828780027992,35
"28",1900,0.361369521801696,34
"29",2000,0.38689573506589,36
"30",2100,0.230493673173087,33
"31",2200,0.347615356227792,34
"32",2300,0.246830079313336,23
"33",2400,0.336541714194596,23
"34",2696.25,0.281871176863817,64
"35",2896.25,0.260251749559337,40
"36",3096.25,0.301026745558138,29
"37",3296.25,0.212087613303627,24
"38",3828.33333333333,0.33280513639319,75
"39",4328.33333333333,0.364933164730941,45
"40",4828.33333333333,0.298689536521786,47
"41",5992.5,0.253281050740244,75
"42",6992.5,0.305347588744806,36
"43",7992.5,0.230128167766493,58
"44",8992.5,0.317104366226155,38
